,Title,Author,Publication,Format,ISBN,Series,Physical Details,Source
4143,"""advances in cryptology -- crypt0' 95 : 15th annual international cryptology conference santa barbara, california, usa, august 27-31, 1995 proceedings""","""coppersmith, don.""","""berlin, heidelberg""","""electronic books.""",9783540447504,"""lecture notes in computer science ; 963. 0302-9743""","""1 online resource""",b
4144,"""advances in cryptology -- eurocrypt '95 : international conference on the theory and application of cryptographic techniques saint-malo, france, may 21-25, 1995 proceedings""","""guillou, louis c.""","""berlin, heidelberg""","""electronic books.""",9783540492641,"""lecture notes in computer science ; 921. 0302-9743""","""1 online resource""",b
4145,"""computational neuroscience: cortical dynamics : 8th international summer school on neural nets, erice, italy, october 31-november 6, 2003, revised lectures""","""rdi, per. | esposito, anna. | marinaro, maria. | scarpetta, silvia.""","""berlin ; springer-verlag berlin heidelberg, 2004.""","""electronic books.""",9783540278627,"""lecture notes in computer science ; 3146, 0302-9743""","""1 online resource.""",b
4146,"""string processing and information retrieval : 9th international symposium, spire 2002 lisbon, portugal, september 1113, 2002 proceedings""","""laender, alberto h. f. | oliveira, arlindo l.""","""berlin ; springer-verlag berlin heidelberg, 2002.""","""electronic books.""",9783540457350,"""lecture notes in computer science ; 2476, 0302-9743""","""1 online resource.""",b
4148,"""information systems design and intelligent applications : proceedings of third international conference india 2016. volume 1""","""satapathy, suresh chandra, | mandal, jyotsna kumar, | udgata, siba k., | bhateja, vikrant,""","""[new delhi]""","""electronic books. | conference papers and proceedings.""",9788132227557,"""advances in intelligent systems and computing ; 433. 2194-5357""","""1 online resource (xx, 753 pages)""",b
4150,"""artificial intelligence in medicine : 5th conference on artificial intelligence in medicine europe, aime '95 pavia, italy, june 25-28, 1995 proceedings""","""barahona, pedro.""","""berlin, heidelberg""","""electronic books.""",9783540494072,"""lecture notes in computer science. lecture notes in artificial intelligence ; 934. 0302-9743""","""1 online resource""",b
4151,"""integrating symbolic mathematical computation and artificial intelligence : second international conference, aismc-2 cambridge, united kingdom, august 3-5, 1994, selected papers""","""calmet, jacques. | campbell, j. a.,""","""heidelberg""","""electronic books.""",9783540495338,"""lecture notes in computer science ; 958. 0302-9743""","""1 online resource.""",b
4152,"""new technologies for constructing complex agricultural and environment systems""","""papajorgji, petraq j. | pinet, francois,""","""hershey, pa""","""electronic books.""",9781466603349,"""nan""","""1 online resource.""",b
4153,"""supercomputing""","""kowalik, janusz s.""","""berlin, heidelberg""","""electronic books.""",9783642757716,"""nato asi series. series f, computer and systems sciences ; 62.""","""1 online resource (x, 425 pages)""",b
4154,"""social informatics : 7th international conference, socinfo 2015, beijing, china, december 9-12, 2015 : proceedings""","""liu, tie-yan. | scollon, christie napa. | zhu, wenwu.""","""[cham]""","""electronic books.""",9783319274331,"""lecture notes in computer science ; (nl-leocl)215138600 9471. 1611-3349 lecture notes in computer science ; 9471. lncs sublibrary. sl 3, information systems and applications, incl. internet/web, and hci.""","""1 online resource.""",b
4155,"""artificial neural networks in medicine and biology : proceedings of the annimab-1 conference, gã¶teborg, sweden, 13-16 may 2000""","""malmgren, helge, 1945-""","""london""","""electronic books.""",9781447105138,"""perspectives in neural computing.""","""1 online resource (xii, 352 pages).""",b
4156,"""enterprise and organizational modeling and simulation : 11th international workshop, eomas 2015, held at caise 2015, stockholm, sweden, june 8-9, 2015, selected papers""","""barjis, joseph. | pergl, robert. | babkin, eduard,""","""cham""","""electronic books.""",9783319246260,"""lecture notes in business information processing ; 231. 1865-1348""","""1 online resource (x, 233 pages)""",b
4157,"""lmf lexical markup framework""","""francopoulo, gil.""","""london""","""electronic books.""",9781118712665,"""computer engineering and it series.""","""1 online resource (xiv, 266 pages)""",b
4158,"""scalable enterprise systems : an introduction to recent advances""","""prabhu, vittal.""","""boston, ma""","""electronic books.""",9781461503897,"""integrated series in information systems ; 3.""","""1 online resource (xxxi, 338 pages).""",b
4159,"""reliability models for engineers and scientists""","""kaminskiy, mark, 1946-""","""boca raton, fl""","""electronic books.""",9781466565937,"""nan""","""1 online resource (xi, 140 pages)""",b
4160,"""doing media research : an introduction""","""priest, susanna hornig.""","""los angeles""","""nan""",9781412960977,"""nan""","""xvii, 248 p.""",b
4162,"""evaluating teen services and programs""","""flowers, sarah, 1952-""","""chicago""","""nan""",9781555707934,"""teens @ the library series.""","""xv, 119 pages""",b
