,Title,Author,Publication,Format,ISBN,Series,Physical Details,Source
6754,"""transactions on large-scale data- and knowledge-centered systems x : special issue on database- and expert-systems applications""","""abdelkader hameurlain [and 5 more] (eds.)""","""berlin ; new york : springer, [2013] ©2013""","""electronic books.""",9783642412219,"""lecture notes in computer science ; 8220,""","""1 online resource (x, 199 pages).""",ab
6771,"""transactions on large-scale data- and knowledge-centered systems xi : special issue on database- and expert-systems applications""","""abdelkader hameurlain [and 5 more] (eds.)""","""berlin ; springer, â©2013.""","""electronic books.""",9783642452697,"""lecture notes in computer science ; 8290,""","""1 online resource (x, 199 pages).""",ab
6777,"""transactions on large-scale data- and knowledge-centered systems xxviii : special issue on database- and expert-systems applications""","""abdelkader hameurlain, josef küng, roland wagner, qimin chen (eds.)""","""berlin ; springer, â©2013.""","""electronic books.""",9783662534557,"""lecture notes in computer science ; 9940,""","""1 online resource (x, 199 pages).""",ab
6780,"""transactions on large-scale data- and knowledge-centered systems xxiv : special issue on database- and expert-systems applications""","""abdelkader hameurlain, josef küng, roland wagner, hendrik decker, lenka lhotska, sebastian link (eds.)""","""berlin ; springer, â©2013.""","""electronic books.""",9783662492147,"""lecture notes in computer science ; 9510,""","""1 online resource (x, 199 pages).""",ab
6798,"""citizen science : public participation in environmental research""","""edited by janis l. dickinson and rick bonney ; foreword by richard louv ; afterword by john w. fitzpatrick""","""ithaca : comstock pub. associates, c2012. ithaca : comstock pub. associates, c2012.""","""books""",9780801463952,"""nan""","""xv. 279 p.""",ab
6799,"""citizen science : public participation in environmental research""","""edited by janis l. dickinson and rick bonney ; foreword by richard louv ; afterword by john w. fitzpatrick""","""ithaca : comstock pub. associates, 2012.""","""books""",9780801449116,"""nan""","""xv. 279 p.""",ab
6811,"""new frontiers in applied data mining : pakdd 2009 international workshops, bangkok, thailand, april 27-30, 2009 : revised selected papers""","""thanaruk theeramunkong ... [and others] (eds.)""","""berlin ; new york : springer, 2010.""","""electronic books. | conference papers and proceedings.""",9783642146404,"""lecture notes in computer science ; 5669,lecture notes in computer science. lecture notes in artificial intelligence,lncs sublibrary. artificial intelligence,lecture notes in computer science. lecture notes in artificial intelligence,lncs sublibrary. artificial intelligence,""","""1 online resource (xiv, 167 p.)""",ab
6815,"""advances in knowledge discovery and data mining : 14th pacific-asia conference, pakdd 2010, hyderabad, india, june 21-24, 2010 ; proceedings. part i""","""mohammed j. zaki ... [and others] (eds.)""","""berlin ; new york : springer, 2010.""","""electronic books. | conference papers and proceedings.""",9783642136573,"""lecture notes in computer science ; 6118-6119,lecture notes in computer science. lecture notes in artificial intelligence,lncs sublibrary. artificial intelligence,lecture notes in computer science. lecture notes in artificial intelligence,lncs sublibrary. artificial intelligence,""","""1 online resource (xxiii, 500 p.).""",ab
6817,"""advances in knowledge discovery and data mining : 14th pacific-asia conference, pakdd 2010, hyderabad, india, june 21-24, 2010 ; proceedings. part ii""","""mohammed j. zaki ... [and others] (eds.)""","""berlin ; new york : springer, 2010.""","""electronic books. | conference papers and proceedings.""",9783642136573,"""lecture notes in computer science ; 6118-6119,lecture notes in computer science. lecture notes in artificial intelligence,lncs sublibrary. artificial intelligence,lecture notes in computer science. lecture notes in artificial intelligence,lncs sublibrary. artificial intelligence,""","""1 online resource (xvii, 518 p.).""",ab
6821,"""agents and data mining interaction : 4th international workshop, admi 2009, budapest, hungary, may 10-15, 2009 : revised selected papers""","""longbing cao ... [and others] (eds.)""","""berlin ; new york, ny : springer, [2009] ©2009""","""electronic books. | conference papers and proceedings.""",9783642036033,"""lecture notes in computer science ; 5680. lecture notes in computer science. lecture notes in artificial intelligence. lncs sublibrary. sl 7, artificial intelligence.""","""1 online resource (xii, 198 pages)""",ab
6845,"""machine learning and data mining in pattern recognition : second international workshop, mldm 2001, leipzig, germany, july 25-27, 2001, proceedings""","""petra perner (ed.)""","""berlin ; new york : springer, [2001] ©2001""","""electronic books. | conference proceedings.""",9783540423591,"""lecture notes in computer science ; 2123,lecture notes in computer science. lecture notes in artificial intelligence,lncs sublibrary. artificial intelligence,""","""1 online resource (xi, 361 p.)""",ab
6849,"""machine learning and data mining in pattern recognition : second international workshop, mldm 2001, leipzig, germany, july 25-27, 2001, proceedings""","""petra perner, atsushi imiya (eds.)""","""berlin ; new york : springer, [2005] ©2005""","""electronic books. | conference proceedings.""",9783540269236,"""lecture notes in computer science ; 3587,lecture notes in computer science. lecture notes in artificial intelligence,lncs sublibrary. artificial intelligence,""","""1 online resource (xi, 361 p.)""",ab
6851,"""machine learning and data mining in pattern recognition : second international workshop, mldm 2001, leipzig, germany, july 25-27, 2001, proceedings""","""petra perner, azriel rosenfeld (eds.)""","""berlin ; new york : springer, [2003] ©2003""","""electronic books. | conference proceedings.""",9783540405047,"""lecture notes in computer science ; 2734,lecture notes in computer science. lecture notes in artificial intelligence,lncs sublibrary. artificial intelligence,""","""1 online resource (xi, 361 p.)""",ab
6873,"""machine learning and data mining in pattern recognition : 6th international conference, mldm 2009, leipzig, germany, july 23-25, 2009 : proceedings""","""petra perner, atsushi imiya (eds.)""","""berlin ; new york : springer, [2005] ©2005""","""electronic books. | conference papers and proceedings.""",9783540269236,"""lecture notes in computer science ; 5632. lncs sublibrary. sl 7, artificial intelligence. lecture notes in computer science. lecture notes in artificial intelligence.""","""1 online resource (xiv, 824 pages)""",ab
6876,"""machine learning and data mining in pattern recognition : 6th international conference, mldm 2009, leipzig, germany, july 23-25, 2009 : proceedings""","""petra perner (ed.)""","""berlin ; new york : springer, 2009.""","""electronic books. | conference papers and proceedings.""",9783642030703,"""lecture notes in computer science ; 5632. lncs sublibrary. sl 7, artificial intelligence. lecture notes in computer science. lecture notes in artificial intelligence.""","""1 online resource (xiv, 824 pages)""",ab
6880,"""advanced data mining and applications : 5th international conference, adma 2009, beijing, china, august 17-19, 2009 : proceedings""","""ronghuai huang ... [and others] (eds.)""","""berlin ; new york : springer, [2009] ©2009""","""electronic books. | conference papers and proceedings.""",9783642033483,"""lecture notes in computer science ; 5678,lecture notes in computer science. lecture notes in artificial intelligence,lncs sublibrary. artificial intelligence,lncs sublibrary. artificial intelligence,lecture notes in computer science. lecture notes in artificial intelligence,""","""1 online resource (xxi, 807 pages)""",ab
6886,"""advances in knowledge discovery and data mining : 15th pacific-asia conference, pakdd 2011, shenzhen, china, may 24-27, 2011, proceedings. part i""","""huang, joshua zhexue. | cao, longbing, | srivastava, jaideep.""","""berlin ; new york : springer, [2011] ©2011""","""electronic books. | conference papers and proceedings.""",9783642208416,"""lecture notes in computer science ; 6634-6635,lecture notes in computer science. lecture notes in artificial intelligence,lncs sublibrary. artificial intelligence,lecture notes in computer science. lecture notes in artificial intelligence,lncs sublibrary. artificial intelligence,""","""1 online resource (xxiv, 564 pages).""",ab
6895,"""advances in intelligent data analysis xv : 15th international symposium, ida 2016, stockholm, sweden, october 13-15, 2016, proceedings""","""bostrã¶m, henrik, | knobbe, arno j., | soares, carlos a. mota, | papapetrou, panagiotis,""","""cham, switzerland : springer, 2016.""","""electronic books. | conference papers and proceedings.""",9783319463490,"""lecture notes in computer science ; 9897. 0302-9743 lncs sublibrary. sl 3, information systems and applications, incl. internet/web, and hci.""","""1 online resource (xiii, 404 pages)""",ab
6919,"""data and applications security and privacy xxx : 30th annual ifip wg 11.3 conference, dbsec 2016, trento, italy, july 18-20, 2015. proceedings""","""silvio ranise, vipin swarup (eds.)""","""switzerland : springer, 2016.""","""electronic books. | conference papers and proceedings.""",9783319414836,"""lecture notes in computer science ; 9766. 1611-3349 lncs sublibrary. sl 3, information systems and applications, incl. internet/web, and hci.""","""1 online resource (xi, 365 pages)""",ab
6922,"""privacy and security issues in data mining and machine learning : international ecml/pkdd workshop, psdml 2010, barcelona, spain, september 24, 2010 : revised selected papers""","""christos dimitrakakis ... [and others] (eds.)""","""berlin ; new york : springer, [2011] ©2011""","""electronic books.""",9783642198960,"""lecture notes in computer science ; 6549,lecture notes in computer science. lecture notes in artificial intelligence,lncs sublibrary. artificial intelligence,lecture notes in computer science. lecture notes in artificial intelligence,lncs sublibrary. artificial intelligence,""","""1 online resource (140 pages)""",ab
